number,value,datetime_start,datetime_complete,duration,params_critical_threshold,params_depth_bonus,params_dirichlet_alpha,params_dirichlet_epsilon,params_learning_rate,params_mcts_simulations,params_penalty_for_failure,params_policy_target_method,params_policy_weight,params_puct_c,params_replay_buffer_size,params_selection_bias_weight,params_temperature,params_temperature_decay,params_training_epochs,params_use_depth_bonus,params_use_virtual_loss,params_value_weight,params_virtual_loss_weight,state
10,-536.3,2025-11-29 20:16:29.490207,2025-11-30 12:01:32.520939,0 days 15:45:03.030732,0.952648168944121,0.1939798388908805,0.4072160612680388,0.3238416767914989,1.7149790602703958e-05,800,-9.269381318056487,visits,0.817845260608842,4.299829377549202,60,,0.8688371883795138,0.9188943311209297,3,True,True,2.388840401544802,0.673197657999377,COMPLETE
11,-537.9,2025-11-29 20:16:29.513679,2025-12-01 01:16:24.700195,1 days 04:59:55.186516,0.9565986034213925,0.012764584014560314,0.9710661093928121,0.19177492563775173,0.00015388511692506366,500,-2.950532974570047,visits,4.580902820103964,4.113395023334086,30,,0.7449682639107287,0.936971269102759,4,True,False,0.9501035241630889,,COMPLETE
12,-755.8,2025-11-29 20:16:29.527189,2025-11-30 21:35:32.468604,1 days 01:19:02.941415,0.9682922557867125,,0.36779079408270554,0.32871935731856516,1.2269249492427083e-05,800,-1.948647205916803,visits,3.94353461217583,4.357438295135628,90,,2.5858679986227804,0.9095281037290629,4,False,False,1.5101781709088353,,COMPLETE
13,-536.3,2025-11-29 20:16:29.552670,2025-11-30 16:36:15.323760,0 days 20:19:45.771090,0.9708743925605959,,0.15735767232340112,0.20958312880617622,0.0009370760167505738,700,-5.225244432378193,visits_with_selection_bias,2.8369553061754647,2.6452876294700887,90,0.8651819107081725,2.8131033338862435,0.9373321403690115,1,False,True,2.381681243538174,0.6181545649490947,COMPLETE
14,-545.8,2025-11-30 04:16:48.044419,2025-11-30 15:21:24.948401,0 days 11:04:36.903982,0.9825033116843811,,0.5759468595250515,0.320920570546823,1.7841461812566755e-05,700,-6.863132073299739,visits,2.692188889874274,3.6255878547101026,30,,2.291315556009569,0.9526486277211482,2,False,True,1.7664472140905638,0.5211394923240145,COMPLETE
15,-756.4,2025-11-30 05:08:39.957594,2025-11-30 18:35:03.213067,0 days 13:26:23.255473,0.9882536555733317,,0.7470044990825022,0.1970702648403272,0.0003705485722736869,1000,-4.863661639787077,visits_with_selection_bias,1.7104458679518237,3.743660605085639,30,0.4857286834953177,2.097868308295592,0.9085189151503611,4,False,False,0.8938362205950838,,COMPLETE
16,-538.5,2025-11-30 05:08:51.254229,2025-12-01 01:25:22.766033,0 days 20:16:31.511804,0.9678566527344707,,0.8801424976768938,0.4530348245061794,0.00010785280741730903,500,-3.478271767845797,visits,1.1823767505553227,1.1599317423545799,120,,1.0344628429277183,0.909004657770824,5,False,True,2.881344636117729,0.2537708945378442,COMPLETE
17,-539.7,2025-11-30 05:19:44.069204,2025-11-30 22:34:29.165018,0 days 17:14:45.095814,0.9893920850629024,0.07520872109398742,0.4130284323000536,0.23092015309285166,2.7229774987768176e-05,800,-1.679272309419737,visits_with_selection_bias,2.419329122809997,1.207889784464236,90,0.33084720695407843,1.8045813783016702,0.9097077466333264,4,True,True,1.9061597116132116,0.3290849838620378,COMPLETE
18,-802.6,2025-11-30 07:51:07.500795,2025-11-30 18:15:56.026478,0 days 10:24:48.525683,0.9875225242932189,0.0902827847532619,0.3731951301881338,0.23805609320955973,2.1082645690975655e-05,400,-1.0346384966931694,visits,4.796336182616442,4.557700222625524,60,,1.9326142332210208,0.9091415412161786,2,True,True,2.8298181430677505,0.8653678642683287,COMPLETE
19,-539.4,2025-11-30 08:05:23.657086,2025-12-01 01:39:54.713831,0 days 17:34:31.056745,0.9794694743200837,0.1348807796023234,0.7199077357739884,0.36487010007343323,0.0008794044624502302,700,-1.969446918821255,visits,1.2878788325511477,1.7196890658114645,120,,1.2120230729162722,0.9208270729874863,2,True,False,1.9607735212311246,,COMPLETE
20,-536.3,2025-11-30 12:01:32.542801,2025-11-30 22:57:28.285267,0 days 10:55:55.742466,0.9748276311288043,0.0810935059172946,0.314545401851957,0.21040665710830125,0.0008095197495138713,300,-8.508189620250064,visits,3.405863983948104,4.5679605116753255,60,,0.7008968779554756,0.9760412486746652,5,True,False,2.654115997477409,,COMPLETE
21,-539.0,2025-11-30 14:14:23.647093,2025-12-01 11:09:09.471696,0 days 20:54:45.824603,0.9624265037660551,0.12451832250650399,0.3364528310282471,0.45053838358613696,0.0009489236572010274,400,-2.748633315742765,visits,4.202787522251562,4.686632399990855,60,,0.9939477881882381,0.9302383005732795,5,True,False,1.6334670718134665,,COMPLETE
22,-584.7,2025-11-30 14:23:28.846082,2025-12-01 18:46:52.836990,1 days 04:23:23.990908,0.9574194447486689,0.09706345140905474,0.33407284812846605,0.17696028164716157,4.2439988104624216e-05,600,-8.52322146123539,visits_with_selection_bias,0.7699367646317561,2.2054760198772887,60,0.7557761091818245,0.7459270326414131,0.9666508182094433,4,True,True,0.5471797360208004,0.8996187007536787,COMPLETE
23,-538.5,2025-11-30 14:47:54.064722,2025-12-01 00:43:40.813195,0 days 09:55:46.748473,0.985580587007492,,0.6067006003568539,0.49851938316652983,0.000977426258284442,300,-9.634246947236448,visits,4.969417445242911,3.9746791246459297,120,,2.6252608284417147,0.904973528422669,4,False,True,2.9951542601306316,0.263283990189688,COMPLETE
24,-802.6,2025-11-30 15:21:24.973196,2025-11-30 22:12:20.195480,0 days 06:50:55.222284,0.9890989205745021,0.1385196600347339,0.9834249389979017,0.20809696187824708,0.0007858814134527203,300,-9.660053805918555,visits_with_selection_bias,2.0496396939549455,2.570502315462665,60,0.3798969120371515,1.5041538848673766,0.9868008120611761,5,True,False,2.904324519020791,,COMPLETE
25,-536.3,2025-11-30 16:36:15.344596,2025-12-01 00:16:05.848959,0 days 07:39:50.504363,0.9898505831781625,0.1387394082691186,0.9994169991674807,0.4098779940527092,0.00023645046374577006,300,-9.989009489869016,visits_with_selection_bias,1.7578917239673648,3.5637419379640836,60,0.41714753955293243,1.390969943833344,0.9874378874210229,5,True,False,2.9927283421476885,,COMPLETE
26,-537.0,2025-11-30 18:15:56.046978,2025-12-01 00:30:51.524095,0 days 06:14:55.477117,0.9890982525709204,0.16121494408335116,0.9771748865087373,0.399025977164237,0.0002489062676571728,200,-9.907889415627363,visits_with_selection_bias,1.7341312401794757,1.1009504618563575,60,0.41114705829305637,1.3031110602610325,0.989864424697681,5,True,False,2.997582220949206,,COMPLETE
27,-550.9,2025-11-30 18:35:03.233257,2025-12-01 13:06:36.238104,0 days 18:31:33.004847,0.9519750833484474,0.14481728824324658,0.9782191915835903,0.4049787805702757,0.00010753507318374268,200,-9.97515718879377,visits_with_selection_bias,1.7954945213003943,1.006837697196703,60,0.2730791695289645,1.3733835021595522,0.988341082843526,5,True,False,2.966612113501098,,COMPLETE
28,-575.8,2025-11-30 21:35:32.486398,2025-12-01 14:09:41.967783,0 days 16:34:09.481385,0.9505055091023161,0.15681207087618643,0.9959260918397299,0.4011283466668566,0.00011249727617091978,200,-9.978986495993775,visits_with_selection_bias,1.8696502906577719,2.118424844102054,60,0.28646321633756044,1.2617618952326684,0.9892108184495708,5,True,False,2.9295673610231203,,COMPLETE
29,-584.7,2025-11-30 22:12:20.234842,2025-12-01 17:44:05.943058,0 days 19:31:45.708216,0.9539425236021525,0.1448248194665002,0.6157412927600849,0.4014428072391996,0.0001362818271821089,200,-8.037841587045927,visits_with_selection_bias,1.8456958944848059,1.0247196127875626,60,0.23830656868092642,1.2732606909114303,0.9861610417931846,4,True,False,2.6359607886260106,,COMPLETE
30,-550.9,2025-11-30 22:34:29.187113,2025-12-01 17:03:59.573961,0 days 18:29:30.386848,0.9515692648277316,0.1413682866953277,0.9934917463195369,0.3975357194857879,0.00010591233071377354,200,-8.217478904864555,visits_with_selection_bias,0.5001260586906113,2.042137429864429,60,0.17047790738632762,1.3259389972177917,0.9723265482814061,5,True,False,2.6321341027224725,,COMPLETE
31,-584.7,2025-11-30 22:57:28.306459,2025-12-01 20:12:02.279819,0 days 21:14:33.973360,0.9519938859635552,0.13876148826632367,0.992422781594912,0.4075388599013122,9.4700991420873e-05,200,-6.142382249255499,visits_with_selection_bias,1.6534966384869385,1.9295278699325769,120,0.6259275679769865,1.248706139036243,0.9257734485450881,5,True,True,2.546795299911104,0.3163023229049966,COMPLETE
32,-790.1,2025-12-01 00:16:05.871706,2025-12-01 11:57:41.561805,0 days 11:41:35.690099,0.9519821549547612,0.13177558331957298,0.6476297936450857,0.39000929798270245,8.412447919847332e-05,100,-6.184703451983928,visits_with_selection_bias,0.5182690208646471,1.9898443495974263,120,0.6771958052076046,1.1710380300698664,0.9274729010670855,4,True,True,2.5482440851545443,0.11256430998985645,COMPLETE
33,-575.8,2025-12-01 00:30:51.544984,2025-12-01 16:15:33.055702,0 days 15:44:41.510718,0.9510453834579926,0.04675480411977287,0.6128535620720272,0.14208361724132906,9.776148682753744e-05,100,-6.217626035273782,visits_with_selection_bias,1.179057498402653,1.9771301894064526,120,0.655626375607516,1.100920339327769,0.9235135824163961,4,True,True,2.555700042200426,0.15642129415382938,COMPLETE
34,-602.9,2025-12-01 00:43:40.834364,2025-12-01 11:37:58.923176,0 days 10:54:18.088812,0.9802393523936517,0.11136741255135867,0.4855972003524186,0.2784156048836102,8.028158014694607e-05,400,-6.089835413646534,visits,4.753967469709183,3.2091901194373955,30,,1.0877169460388265,0.9239579242930424,2,True,True,2.6424672436455174,0.4601470649321585,COMPLETE
35,-619.3,2025-12-01 01:16:24.721553,2025-12-01 11:01:04.940410,0 days 09:44:40.218857,0.9806749383874384,0.12009119102050987,0.5161971956323244,0.11917994356897887,7.13594672229652e-05,200,-6.1467432985776105,visits_with_selection_bias,0.5761561830732198,3.156857604738458,60,0.7071412037494044,1.1403200696788596,0.9241711185151322,2,True,True,2.6954131167527295,0.9894885578753672,COMPLETE
36,-861.8,2025-12-01 01:25:22.788034,2025-12-01 09:15:09.967665,0 days 07:49:47.179631,0.98283564547973,0.11268187631995791,0.6746781042858587,0.28233368865472114,5.9236384099186844e-05,200,-6.170617012317786,visits_with_selection_bias,2.1067473238626775,1.9568123795602537,60,0.6924479255138937,2.0607541148935216,0.9258409752478688,3,True,True,2.5891250351719624,0.4998518749831802,COMPLETE
37,-584.7,2025-12-01 01:39:54.736546,2025-12-01 22:33:31.404726,0 days 20:53:36.668180,0.9502883394446833,0.05396285215137732,0.48917402106908653,0.2732878373133038,6.784531364924325e-05,200,-5.918937206061485,visits_with_selection_bias,2.2144594048359947,3.286465723171106,60,0.6728059995016564,2.1018985584068997,0.925415699912959,2,True,True,2.619601636506059,0.9944371570671852,COMPLETE
38,-584.7,2025-12-01 04:51:20.899324,2025-12-01 17:54:00.004211,0 days 13:02:39.104887,0.9637082837266199,0.10795720162270467,0.6437466965858701,0.26652362154337406,7.171881637824603e-05,200,-5.797380984861705,visits_with_selection_bias,0.5173649539725984,3.2128817174928246,60,0.16957696847635706,0.5328600231136404,0.9247515682804387,2,True,True,2.6706806467775195,0.46516013642279197,COMPLETE
39,-550.9,2025-12-01 09:15:09.989946,2025-12-02 03:48:03.183653,0 days 18:32:53.193707,0.9503475133641623,0.11113691407492281,0.6444148481735034,0.27096915003863203,5.844311885613208e-05,200,-6.172434271777053,visits_with_selection_bias,2.1565534933805774,1.9657005173072062,30,0.6810730104733211,0.5159105716548698,0.927443590768694,3,True,True,2.6451752035115743,0.4660481383325807,COMPLETE
40,-584.7,2025-12-01 11:01:04.994197,2025-12-01 18:05:54.265331,0 days 07:04:49.271134,0.9625639954677698,0.05544437944364765,0.7017416528213235,0.27188244923484406,7.374859215449326e-05,100,-7.7471526036208225,visits_with_selection_bias,2.272397650625535,2.0205078257640836,30,0.19357185526763007,0.509326087888404,0.9279722790803107,3,True,True,2.5574157256948697,0.4372497363931467,COMPLETE
41,-550.9,2025-12-01 11:09:09.492960,2025-12-02 07:11:36.387065,0 days 20:02:26.894105,0.9512147613741984,0.05764026922134735,0.6515258961097373,0.2840442446581495,8.124114577466518e-05,100,-7.604536306369872,visits_with_selection_bias,2.111819373824984,1.9605540102863304,30,0.17272542385936795,0.5238057928327512,0.9282941877275339,3,True,True,2.605549562502701,0.459091972475066,COMPLETE
